 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,23.32437
-566.4,-0.07,27.94405
-566.4,-0.07,32.92995
-566.4,-0.07,38.27901
-566.4,-0.07,43.98116
-566.4,-0.07,50.02793
-566.4,-0.07,56.39656
-566.4,-0.07,63.08857
-566.4,-0.07,70.14002
-566.4,-0.07,77.52917
-566.4,-0.07,85.28009
-566.4,-0.07,93.43159
-566.4,-0.07,101.9897
-566.4,-0.07,110.9414
-566.4,-0.07,120.2686
-566.4,-0.07,129.9827
-566.4,-0.07,140.0969
-566.4,-0.07,150.5922
-566.4,-0.07,161.4412
-566.4,-0.07,172.6382
-566.4,-0.07,184.2016
-566.4,-0.07,196.1208
-566.4,-0.07,208.3774
-566.4,-0.07,220.9705
-566.4,-0.07,233.8972
-566.4,-0.07,247.173
-566.4,-0.07,260.8142
-566.4,-0.07,274.8061
-566.4,-0.07,289.1497
-566.4,-0.07,303.8478
-566.4,-0.07,318.927
-566.4,-0.07,334.3777
-566.4,-0.07,350.1642
-566.4,-0.07,366.2738
-566.4,-0.07,382.712
-566.4,-0.07,399.4685
-566.4,-0.07,416.5447
-566.4,-0.07,433.936
-566.4,-0.07,451.6497
-566.4,-0.07,469.6814
-566.4,-0.07,488.0684
-566.4,-0.07,506.8771
-566.4,-0.07,526.1174
-566.4,-0.07,545.7845
-566.4,-0.07,565.8798
-566.4,-0.07,586.3707
-566.4,-0.07,607.2884
-566.4,-0.07,628.6271
-566.4,-0.07,650.3872
-566.4,-0.07,672.5668
-566.4,-0.07,695.1724
-566.4,-0.07,718.1804
-566.4,-0.07,741.6081
-566.4,-0.07,765.4516
-566.4,-0.07,789.6998
-566.4,-0.07,814.322
-566.4,-0.07,839.3154
-566.4,-0.07,864.6778
-566.4,-0.07,890.4109
-566.4,-0.07,916.5226
-566.4,-0.07,943.0013
-566.4,-0.07,969.8501
-566.4,-0.07,997.0821
-566.4,-0.07,1024.691
-566.4,-0.07,1052.703
-566.4,-0.07,1081.125
-566.4,-0.07,1109.931
-566.4,-0.07,1139.122
-566.4,-0.07,1168.7
-566.4,-0.07,1198.666
-566.4,-0.07,1229.024
-566.4,-0.07,1259.775
-566.4,-0.07,1290.92
-566.4,-0.07,1322.482
-566.4,-0.07,1354.477
-566.4,-0.07,1386.881
-566.4,-0.07,1419.688
-566.4,-0.07,1452.903
-566.4,-0.07,1486.535
PLAYER RUN ENDS
 
 
PLAYER RUN STARTS
X Coordinates, Z Coordinates, Time (Seconds)
-566.4,-0.07,1.006738
-566.4,-0.07,2.47894
-566.4,-0.07,4.435693
-566.4,-0.07,6.862301
-566.4,-0.07,9.752771
-566.4,-0.07,13.12395
-566.4,-0.07,16.97344
-566.4,-0.07,21.28057
-566.4,-0.07,26.06028
-566.4,-0.07,31.31638
-566.4,-0.07,37.05522
-566.4,-0.07,43.28509
-566.4,-0.07,49.98183
-566.4,-0.07,57.11171
-566.4,-0.07,64.71855
-566.4,-0.07,72.81286
-566.4,-0.07,81.35577
-566.4,-0.07,90.33699
-566.4,-0.07,99.7714
-566.4,-0.07,109.6587
-566.4,-0.07,119.9715
-566.4,-0.07,130.7076
-566.4,-0.07,141.884
-566.4,-0.07,153.5229
-566.4,-0.07,165.5908
-566.4,-0.07,178.0855
-566.4,-0.07,191.0201
-566.4,-0.07,204.3751
-566.4,-0.07,218.1601
-566.4,-0.07,232.3479
-566.4,-0.07,246.9718
-566.4,-0.07,262.0386
-566.4,-0.07,277.5354
-566.4,-0.07,293.4385
-566.4,-0.07,309.7625
-566.4,-0.07,326.5268
-566.4,-0.07,343.7125
-566.4,-0.07,361.3167
-566.4,-0.07,379.351
-566.4,-0.07,397.8072
-566.4,-0.07,416.6852
-566.4,-0.07,435.9754
-566.4,-0.07,455.6797
-566.4,-0.07,475.8436
-566.4,-0.07,496.4637
-566.4,-0.07,517.5613
-566.4,-0.07,539.1282
-566.4,-0.07,561.15
-566.4,-0.07,583.6141
-566.4,-0.07,606.5359
-566.4,-0.07,629.9163
-566.4,-0.07,653.7452
-566.4,-0.07,678.0145
-566.4,-0.07,702.7277
-566.4,-0.07,727.8655
-566.4,-0.07,753.4642
-566.4,-0.07,779.5179
-566.4,-0.07,806.0281
-566.4,-0.07,832.9703
-566.4,-0.07,860.3302
-566.4,-0.07,888.1077
-566.4,-0.07,916.3055
-566.4,-0.07,944.9549
-566.4,-0.07,974.0404
-566.4,-0.07,1003.566
